,texto,tokens,texto_preprocesado,bigramas_spacy,texto_lematizado,polaridad
117,que en distrito 18 no vean esa frase que usa actualmente el pri como su lema ,"['distrito', 'vean', 'frase', 'usa', 'actualmente', 'pri', 'lema']","['distrito', 'vean', 'frase', 'actualmente', 'pri', 'lema']","[('que', 'en'), ('en', 'distrito'), ('distrito', '18'), ('18', 'no'), ('no', 'vean'), ('vean', 'esa'), ('esa', 'frase'), ('frase', 'que'), ('que', 'usa'), ('usa', 'actualmente'), ('actualmente', 'el'), ('el', 'pri'), ('pri', 'como'), ('como', 'su'), ('su', 'lema')]",que en distrito 18 no vean ese frase que usar actualmente el pri como su lema,0.002136693576602555
119,que en distrito 18 no vean esa frase que usa actualmente el pri como su lema ,"['distrito', 'vean', 'frase', 'usa', 'actualmente', 'pri', 'lema']","['distrito', 'vean', 'frase', 'actualmente', 'pri', 'lema']","[('que', 'en'), ('en', 'distrito'), ('distrito', '18'), ('18', 'no'), ('no', 'vean'), ('vean', 'esa'), ('esa', 'frase'), ('frase', 'que'), ('que', 'usa'), ('usa', 'actualmente'), ('actualmente', 'el'), ('el', 'pri'), ('pri', 'como'), ('como', 'su'), ('su', 'lema')]",que en distrito 18 no vean ese frase que usar actualmente el pri como su lema,0.002136693576602555
120,,[],[],[],,0.49789225920557484
122,,[],[],[],,0.49789225920557484
123,todas ,['todas'],[],[],todo,0.6150842836360038
125,todas ,['todas'],[],[],todo,0.6150842836360038
126,buena foto doctor ,"['buena', 'foto']","['foto', 'doctor']","[('buena', 'foto'), ('foto', 'doctor')]",buen foto doctor,0.28462321692617887
128,buena foto doctor ,"['buena', 'foto']","['foto', 'doctor']","[('buena', 'foto'), ('foto', 'doctor')]",buen foto doctor,0.28462321692617887
129,ya choleeeeeee con usted  que no le dejo lo que r0b0 con las medicinas,"['choleeeeeee', 'dejo', 'medicinas']","['choleeeeeee', 'dejar', 'medicina']","[('ya', 'choleeeeeee'), ('choleeeeeee', 'con'), ('con', 'usted'), ('usted', ' '), (' ', 'que'), ('que', 'no'), ('no', 'le'), ('le', 'dejo'), ('dejo', 'lo'), ('lo', 'que'), ('que', 'r0b0'), ('r0b0', 'con'), ('con', 'las'), ('las', 'medicinas')]",ya choleeeeeee con usted   que no él dejar él que r0b0 con el medicina,5.40832988483056e-05
131,ya choleeeeeee con usted  que no le dejo lo que r0b0 con las medicinas,"['choleeeeeee', 'dejo', 'medicinas']","['choleeeeeee', 'dejar', 'medicina']","[('ya', 'choleeeeeee'), ('choleeeeeee', 'con'), ('con', 'usted'), ('usted', ' '), (' ', 'que'), ('que', 'no'), ('no', 'le'), ('le', 'dejo'), ('dejo', 'lo'), ('lo', 'que'), ('que', 'r0b0'), ('r0b0', 'con'), ('con', 'las'), ('las', 'medicinas')]",ya choleeeeeee con usted   que no él dejar él que r0b0 con el medicina,5.40832988483056e-05
132,dr gran apoyo para naso  el elde la luz ,"['gran', 'apoyo', 'naso', 'elde', 'luz']","['dr', 'apoyo', 'naso', 'elde', 'luz']","[('dr', 'gran'), ('gran', 'apoyo'), ('apoyo', 'para'), ('para', 'naso'), ('naso', ' '), (' ', 'el'), ('el', 'elde'), ('elde', 'la'), ('la', 'luz')]",dr gran apoyo para naso   el elde el luz,0.7789130040297381
134,dr gran apoyo para naso  el elde la luz ,"['gran', 'apoyo', 'naso', 'elde', 'luz']","['dr', 'apoyo', 'naso', 'elde', 'luz']","[('dr', 'gran'), ('gran', 'apoyo'), ('apoyo', 'para'), ('para', 'naso'), ('naso', ' '), (' ', 'el'), ('el', 'elde'), ('elde', 'la'), ('la', 'luz')]",dr gran apoyo para naso   el elde el luz,0.7789130040297381
135,el organigrama de a hvo quiero seguir dentro ,"['organigrama', 'hvo', 'quiero', 'seguir', 'dentro']","['organigrama', 'hvo', 'querer', 'seguir']","[('el', 'organigrama'), ('organigrama', 'de'), ('de', 'a'), ('a', 'hvo'), ('hvo', 'quiero'), ('quiero', 'seguir'), ('seguir', 'dentro')]",el organigrama de a hvo querer seguir dentro,0.07437793797711906
137,el organigrama de a hvo quiero seguir dentro ,"['organigrama', 'hvo', 'quiero', 'seguir', 'dentro']","['organigrama', 'hvo', 'querer', 'seguir']","[('el', 'organigrama'), ('organigrama', 'de'), ('de', 'a'), ('a', 'hvo'), ('hvo', 'quiero'), ('quiero', 'seguir'), ('seguir', 'dentro')]",el organigrama de a hvo querer seguir dentro,0.07437793797711906
138,fuera roña naranja,"['roña', 'naranja']","['roña', 'naranjo']","[('fuera', 'roña'), ('roña', 'naranja')]",ser roña naranjo,0.4028459067696465
140,fuera roña naranja,"['roña', 'naranja']","['roña', 'naranjo']","[('fuera', 'roña'), ('roña', 'naranja')]",ser roña naranjo,0.4028459067696465
141,habla de honestidad  de verdad  me hizo el día no bueno que buen chiste se aventó y más usted que hizo un negociado con las medicinas de jalisco ,"['habla', 'honestidad', 'verdad', 'bueno', 'buen', 'chiste', 'aventó', 'negociado', 'medicinas']","['honestidad', 'chiste', 'aventar', 'negociado', 'medicina', 'jalisco']","[('habla', 'de'), ('de', 'honestidad'), ('honestidad', ' '), (' ', 'de'), ('de', 'verdad'), ('verdad', ' '), (' ', 'me'), ('me', 'hizo'), ('hizo', 'el'), ('el', 'día'), ('día', 'no'), ('no', 'bueno'), ('bueno', 'que'), ('que', 'buen'), ('buen', 'chiste'), ('chiste', 'se'), ('se', 'aventó'), ('aventó', 'y'), ('y', 'más'), ('más', 'usted'), ('usted', 'que'), ('que', 'hizo'), ('hizo', 'un'), ('un', 'negociado'), ('negociado', 'con'), ('con', 'las'), ('las', 'medicinas'), ('medicinas', 'de'), ('de', 'jalisco')]",hablar de honestidad   de verdad   yo hacer el día no bueno que buen chiste él aventar y más usted que hacer uno negociado con el medicina de jalisco,0.0017890500899610644
143,habla de honestidad  de verdad  me hizo el día no bueno que buen chiste se aventó y más usted que hizo un negociado con las medicinas de jalisco ,"['habla', 'honestidad', 'verdad', 'bueno', 'buen', 'chiste', 'aventó', 'negociado', 'medicinas']","['honestidad', 'chiste', 'aventar', 'negociado', 'medicina', 'jalisco']","[('habla', 'de'), ('de', 'honestidad'), ('honestidad', ' '), (' ', 'de'), ('de', 'verdad'), ('verdad', ' '), (' ', 'me'), ('me', 'hizo'), ('hizo', 'el'), ('el', 'día'), ('día', 'no'), ('no', 'bueno'), ('bueno', 'que'), ('que', 'buen'), ('buen', 'chiste'), ('chiste', 'se'), ('se', 'aventó'), ('aventó', 'y'), ('y', 'más'), ('más', 'usted'), ('usted', 'que'), ('que', 'hizo'), ('hizo', 'un'), ('un', 'negociado'), ('negociado', 'con'), ('con', 'las'), ('las', 'medicinas'), ('medicinas', 'de'), ('de', 'jalisco')]",hablar de honestidad   de verdad   yo hacer el día no bueno que buen chiste él aventar y más usted que hacer uno negociado con el medicina de jalisco,0.0017890500899610644
