"x1lliihq","x1lliihq 2","x1i10hfl href","x193iq5w","html-span","xpdipgo src","x1i10hfl","x1i10hfl href 2","_aacl","x1i10hfl 3","x1i10hfl href 4","_a9ze","x193iq5w 2","_aaqe"
"Opciones del comentario","Me gusta","https://www.instagram.com/carlosruizvelascot/","Ver traducción","","https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/305080937_199385022520881_5498239697779990837_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=109&_nc_ohc=aPOiHxMpLX0AX8M9jBd&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfCQJ37Jzf2KpHax3qmvtnSinp0_wj2-PD0pSArTG-dDIg&oe=6533B287&_nc_sid=fc8dfb","carlosruizvelascot","https://www.instagram.com/carlosruizvelascot/","¡Cerramos GDL Disueña con broche de oro! 🤩 Que increíble haber sido parte de este proyecto en el que pude ver de cerca el gran talento de todos los participantes.✨Gracias  por apoyar este tipo de iniciativas que inspiran al talento joven a perseguir sus sueños, convirtiendo su inspiración en maravillosas piezas, y que a la vez impulsan el diseño mexicano. ¿Cuál fue tu reto favorito? 👇🏻..","#diseñomexicano","https://www.instagram.com/explore/tags/dise%C3%B1omexicano/","3 d","1 Me gusta",""
"","","https://www.instagram.com/p/CyXClVWBtKM/","","","","","","","","","","","Hace 3 días"
"Les gusta a  y","","https://www.instagram.com/p/CyWwClTuglB/liked_by/","otras personas","","","","https://www.instagram.com/lupita_bernal_7/","","","","","lupita_bernal_7",""
"Opciones del comentario","Me gusta","https://www.instagram.com/juventudesgdl/","Ver traducción","","https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/356801897_254646110630023_3058667687183736098_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=ySbK6TMOFvAAX92e78O&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfCBL3DzliqbJzsGXdA-vscXeiCeDIg522c2lElzC1gm3w&oe=65321C46&_nc_sid=fc8dfb","juventudesgdl","https://www.instagram.com/juventudesgdl/","Si lo tuyo es apoyar a las juventudes promesas del arte tapatío, no te puedes perder esta Expo. Ya llegó la segunda edición de , encuéntrala del 16 al 31 de octubre en El Palacio Municipal de Guadalajara. ¡Ahí nos vemos! 😎✌🏽🎨......||","#SomosArte","https://www.instagram.com/explore/tags/somosarte/","3 d","Responder",""
"","","https://www.instagram.com/p/CyWwClTuglB/","","","","","","","","","","","Hace 3 días"
"","","https://www.instagram.com/p/CyWbn64u61u/liked_by/","1 Me gusta","","","","","","","","","",""
"","","https://www.instagram.com/imagenesdemexico_/","Ver traducción","","https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/391050687_187259164417837_934246978803764958_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=101&_nc_ohc=UFS9TzaCg38AX-VDGKl&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfDid6CxgxtqkQ7FY3pT91UMRLE5wmRtF0QEUdkIjy6XYw&oe=6532ECAA&_nc_sid=fc8dfb","imagenesdemexico_","https://www.instagram.com/imagenesdemexico_/","Guadalajara en 10 fotografías sus calles albergan miles de momentos únicos para vivir.","#foto","https://www.instagram.com/explore/tags/foto/","3 d","",""
"","","https://www.instagram.com/p/CyWbn64u61u/","","","","","","","","","","","Hace 3 días"
"","","https://www.instagram.com/p/CyUxWEKu3I8/liked_by/","Me gusta","1243","","","","","","","","",""
"Opciones del comentario","Me gusta","https://www.instagram.com/momogdl/","Ver traducción","","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/18444165_1893447494210855_261419072871202816_a.jpg?_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Ag5W7qASf7IAX9b5pqF&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfCf2rfPraDYZ97EIrx7lUnZY37uNj3K420bTUxyG2aiUg&oe=65320771&_nc_sid=fc8dfb","momogdl","https://www.instagram.com/momogdl/","• Fernando González Gortázar.Puerta de Zapopan. 1984.Desmantelado.-------------------------------Estuvo ubicado sobre la Av. Ávila Camacho, a un costado de Plaza Patria.-------------------------------Existe la promesa del Ayuntamiento de Zapopan de reinstalarlo.-------------------------------Fotografía: Libro. Fernando González Gortázar. Americo Arte Editore-------------------------------","#FernandoGonzálezGortázar","https://www.instagram.com/explore/tags/fernandogonz%C3%A1lezgort%C3%A1zar/","3 d","Responder",""
