,texto,tokens,views
10,led zeppelin,"['led', 'zeppelin']",1425
11,ya te diste una vuelta por el centro histórico de guadalajara,"['ya', 'te', 'diste', 'una', 'vuelta', 'por', 'el', 'centro', 'histórico', 'de', 'guadalajara']",1568
12,,[],8103
13,disfrutemos hoy del,"['disfrutemos', 'hoy', 'del']",2804
14,ya empezó la spooky season,"['ya', 'empezó', 'la', 'spooky', 'season']",5426
15,muchas gracias por todo el cariño,"['muchas', 'gracias', 'por', 'todo', 'el', 'cariño']",3317
16,,[],2624
17,sabemos que queda mucho camino por recorrer en materia de seguridad pero los datos nos indican que poco a poco la estrategia implementada está rindiendo frutos estos datos nos llenan de impulso para lo que viene y todos nuestros esfuerzos seguirán enfocados en la tarea de recuperar la tranquilidad de nuestra ciudad ánimo guadalajara a seguir trabajando,"['sabemos', 'que', 'queda', 'mucho', 'camino', 'por', 'recorrer', 'en', 'materia', 'de', 'seguridad', 'pero', 'los', 'datos', 'nos', 'indican', 'que', 'poco', 'a', 'poco', 'la', 'estrategia', 'implementada', 'está', 'rindiendo', 'frutos', 'estos', 'datos', 'nos', 'llenan', 'de', 'impulso', 'para', 'lo', 'que', 'viene', 'y', 'todos', 'nuestros', 'esfuerzos', 'seguirán', 'enfocados', 'en', 'la', 'tarea', 'de', 'recuperar', 'la', 'tranquilidad', 'de', 'nuestra', 'ciudad', 'ánimo', 'guadalajara', 'a', 'seguir', 'trabajando']",2274
18,bien y de buenas excelente miércoles,"['bien', 'y', 'de', 'buenas', 'excelente', 'miércoles']",3895
19,,[],2893
20,,[],3155
21,los invito a la feria del café y el agave se llevará a cabo del 2 al 8 de octubre de 1000 am a 900 pm en los portales del palacio municipal de guadalajara,"['los', 'invito', 'a', 'la', 'feria', 'del', 'café', 'y', 'el', 'agave', 'se', 'llevará', 'a', 'cabo', 'del', '2', 'al', '8', 'de', 'octubre', 'de', '1000', 'am', 'a', '900', 'pm', 'en', 'los', 'portales', 'del', 'palacio', 'municipal', 'de', 'guadalajara']",4577
22,centro histórico de guadalajara,"['centro', 'histórico', 'de', 'guadalajara']",13K
23,qué chida es la energía de las y los jóvenes,"['qué', 'chida', 'es', 'la', 'energía', 'de', 'las', 'y', 'los', 'jóvenes']",5028
24,gracias por todo el cariño,"['gracias', 'por', 'todo', 'el', 'cariño']",6656
25,transformación mercado reforma,"['transformación', 'mercado', 'reforma']",2645
