,texto,tokens
91,sr que partido se lanzará ala gobernaturasiempre he dicho que con movimiento ciudadano no me iré a otro partido ánimo,"['sr', 'que', 'partido', 'se', 'lanzará', 'ala', 'gobernaturasiempre', 'he', 'dicho', 'que', 'con', 'movimiento', 'ciudadano', 'no', 'me', 'iré', 'a', 'otro', 'partido', 'ánimo']"
92,saludos pablo ánimo adriana,"['saludos', 'pablo', 'ánimo', 'adriana']"
93,corre pablo que nos quedamos sin gobernador jajaja,"['corre', 'pablo', 'que', 'nos', 'quedamos', 'sin', 'gobernador', 'jajaja']"
94,saludos cuando guste esta invitado a mi negocio un billar con más de 50 años muchas gracias adrián ánimo,"['saludos', 'cuando', 'guste', 'esta', 'invitado', 'a', 'mi', 'negocio', 'un', 'billar', 'con', 'más', 'de', '50', 'años', 'muchas', 'gracias', 'adrián', 'ánimo']"
95,muchas felicidadesgracias por el apoyo ánimo,"['muchas', 'felicidadesgracias', 'por', 'el', 'apoyo', 'ánimo']"
96,próximo gobernadormuchas gracias por el apoyo y confianza ánimo,"['próximo', 'gobernadormuchas', 'gracias', 'por', 'el', 'apoyo', 'y', 'confianza', 'ánimo']"
97,viva méxicoviva jalisco,"['viva', 'méxicoviva', 'jalisco']"
98,que satisfacción tan grande es ver el resultado del esfuerzo muchas felicidades muchas gracias por el apoyo ánimo,"['que', 'satisfacción', 'tan', 'grande', 'es', 'ver', 'el', 'resultado', 'del', 'esfuerzo', 'muchas', 'felicidades', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'ánimo']"
99,viva jalisco viva jalisco,"['viva', 'jalisco', 'viva', 'jalisco']"
100,viva lemus muchas gracias por el apoyo ánimo,"['viva', 'lemus', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'ánimo']"
101,eres el mejor lemus muchas gracias por el apoyo y confianza ánimo,"['eres', 'el', 'mejor', 'lemus', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'y', 'confianza', 'ánimo']"
