"tiktok-1as5cen-DivWrapper href","tiktok-41hm0z src","video-count","tiktok-1wrhn5c-AMetaCaptionLine href","tiktok-j2a19r-SpanText","ejg0rhn6 href","tiktok-1p6dp51-StrongText","tiktok-j2a19r-SpanText 2","ejg0rhn6 href 2","tiktok-1p6dp51-StrongText 2","ejg0rhn6 href 3","tiktok-1p6dp51-StrongText 3","ejg0rhn6 href 4","tiktok-1p6dp51-StrongText 4","ejg0rhn6 href 5","tiktok-1p6dp51-StrongText 5","ejg0rhn6 href 6","tiktok-1p6dp51-StrongText 6","tiktok-41hm0z src 2"
"https://www.tiktok.com/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","2460","https://www.tiktok.com/@drcarloslomeli/video/7233205291041426693","¡Estamos listos para apoyar al rebaño sagrado! Hoy remontamos en casa y pasamos a la semifinal. ¡Arriba las","https://www.tiktok.com/tag/chivas","#Chivas","!","https://www.tiktok.com/tag/chivasdelguadalajara","#chivasdelguadalajara","https://www.tiktok.com/tag/clasicotapatio","#clasicotapatio","","","","","","",""
"https://www.tiktok.com/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","1681","https://www.tiktok.com/@drcarloslomeli/video/7231036566024621317","Para ser un buen politico, hay que tenerle amor al pueblo.","https://www.tiktok.com/tag/politica","#politica","","https://www.tiktok.com/tag/morena","#morena","https://www.tiktok.com/tag/amlo","#amlo","https://www.tiktok.com/tag/4t","#4t","","","","",""
"https://www.tiktok.com/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","3108","https://www.tiktok.com/@drcarloslomeli/video/7230672061272755462","¡Con","https://www.tiktok.com/tag/morena","#Morena",", Jalisco va a cambiar!","https://www.tiktok.com/tag/morenava","#MorenaVa","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o05mEvTDRJbb2YgenQA1VIQEEAylLbnw0cGBeB?x-expires=1697670000&x-signature=d%2BSC6rt4KIfQDoVOCFqZjffA410%3D","6873","https://www.tiktok.com/@drcarloslomeli/video/7283337324790828294","Aquí estoy, con la cabeza en alto y el corazón encendido, a punto de alcanzar este sueño.","","","","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o8JydBz8EgAhRnE4NCAoItifxvtB9C8ZUC7Ik7?x-expires=1697670000&x-signature=d%2BukrkSBtm2pQjCux2ZWJGSlnaY%3D","3972","https://www.tiktok.com/@drcarloslomeli/video/7272729870193528069","En","https://www.tiktok.com/tag/morena","#morena","hemos combatido permanentemente la corrupción de Movimiento Ciudadano. No nos detendremos, así seguiremos porque nosotros actuamos bajo los principios de no mentir, no robar y no traicionar el mandato del pueblo.","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o8R6FBdxAHDIgA2k8oJeD9fhEBtbkxvGoQnjEV?x-expires=1697670000&x-signature=Ysu9Qy%2F2ViO3meeowQs92LRJdUA%3D","1267","https://www.tiktok.com/@drcarloslomeli/video/7243634729860271366","En esta batalla, no hay tiempo que perder. Les comparto un resumen semanal de mis actividades.","","","","","","","","","","","","","","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/o8R6FBdxAHDIgA2k8oJeD9fhEBtbkxvGoQnjEV~tplv-photomode-zoomcover:480:480.avif?x-expires=1697670000&x-signature=tPFKbG%2BQQ9KF3JJ9mEli73GGYrk%3D"
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oU94pAlfkCBK6O7ABYeDQJn8EgARYiYIEDb3JO?x-expires=1697670000&x-signature=m6GtxuBlkz0RbiGjwUhXYXZ0vcQ%3D","7401","https://www.tiktok.com/@drcarloslomeli/video/7242037326472432902","La falta de transparencia en el programa de verificación y la criminalización del parque vehicular viejo, tiene muy enojados a las y los ciudadanos, por eso piden","https://www.tiktok.com/tag/verificaci%C3%B3ngratuita","#verificacióngratuita","","","","","","","","","","","","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/oU94pAlfkCBK6O7ABYeDQJn8EgARYiYIEDb3JO~tplv-photomode-zoomcover:480:480.avif?x-expires=1697670000&x-signature=9bRziQyDAnrbFhEerHMc649FZVY%3D"
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/owwfnbIDIDfSgFcgaCIg8C86QVjpAix8nCqrDe?x-expires=1697670000&x-signature=oA5jIuYL4NfcF6Kk8YU2%2B2W%2F%2Bv0%3D","9547","https://www.tiktok.com/@drcarloslomeli/video/7241396859766443270","No a la verificación recaudatoria de Movimiento Ciudadano.","","","","","","","","","","","","","","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/owwfnbIDIDfSgFcgaCIg8C86QVjpAix8nCqrDe~tplv-photomode-zoomcover:480:480.avif?x-expires=1697670000&x-signature=OGn%2BOOd2owkhBgMxn88EegCQqBo%3D"
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ogIAgfgVAKVNlDPIDyxjAxk5oRECIWTxzKUjho?x-expires=1697670000&x-signature=VO9nbw6ojDruLfy%2F5nqPUKLt73I%3D","65.7K","https://www.tiktok.com/@drcarloslomeli/video/7239906056057539845","Vamos a seguir denunciando lo que pasa en nuestra ciudad. Cuentan con nosotros, en Guadalajara hay oposición.","","","","","","","","","","","","","","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/ogIAgfgVAKVNlDPIDyxjAxk5oRECIWTxzKUjho~tplv-photomode-zoomcover:480:480.avif?x-expires=1697670000&x-signature=DCMLui7EDYMlnrvUi3ZyPRnwddU%3D"
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oo7wAbxznCDI8pVIgxDWCeIjeCSQJIcgfrjAYA?x-expires=1697670000&x-signature=gsvgopqVq2vCSqkWY%2F5dncWHNic%3D","1440","https://www.tiktok.com/@drcarloslomeli/video/7239726738924653829","La lealtad y la honestidad son los valores más significativos que aprendí de mi mamá y de mi papá.","https://www.tiktok.com/tag/doccast","#DocCast","","","","","","","","","","","","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/oo7wAbxznCDI8pVIgxDWCeIjeCSQJIcgfrjAYA~tplv-photomode-zoomcover:480:480.avif?x-expires=1697670000&x-signature=8nFpJQqlWsA464f73JLuYxQ6V%2B8%3D"
