texto,comentarios,repost,likes,views
"Hoy celebramos el acto heroico de nuestros Niños Héroes, un recordatorio de valentía y sacrificio. Estos actos nos impulsan a seguir luchando por un mejor Jalisco.",1,31,45,442
"Solamente desde la honestidad podemos construir una mejor realidad; la realidad de bienestar que merecemos todas y todos en Jalisco.

¡Vivamos en la verdad por el estado que merecemos!",44,17,66,3000
"Han sido dos años de un gobierno en Guadalajara lleno de corrupción, impunidad, simulación, engaño, superficialidad e ineptitud.

Hoy aprovechamos nuestra conferencia de prensa para exponer todos estos temas y reiterar que las y los regidores de #morena no descansaremos hasta que se haga justicia y Guadalajara deje de ser la #CapitalDeLaCorrupción",2,33,58,598
"Esta mañana participé en la Tercera Sesión Ordinaria del @ConsejoMorenaMX
, donde se entregó la constancia que acredita a mi amiga 
@Claudiashein
 como la Coordinadora de los Comités de Defensa de la 4T.

En ese contexto, Claudia nos instó a establecer Comités de Defensa en todo el país para lograr la unidad y promover los logros del gobierno del Presidente 
@lopezobrador_
 . En Morena tenemos un arduo trabajo por delante y continuaremos construyendo un mejor futuro para el país.",5,11,54,2000
"¡Listo para acompañar a nuestra compañera @Claudiashein
  en el Consejo Nacional de MORENA!",19,19,103,4000
"Mi recorrido por el estado refuerza mi convicción: Jalisco clama por una transformación real. Estoy en sintonía con la ciudadanía para hacer realidad este cambio sin precedentes. ¡Sin miedo, sin pausa, hacia adelante!",6,4,38,840
"El día de hoy tuve el honor de visitar Amatitán y ser parte del segundo informe de mi amigo el presidente municipal, Saúl Pérez Ocampo. @PartidoMorenaMx
 es semillero de buenos gobiernos porque pone al centro las necesidades de la gente, siguiendo los principios de no mentir, no robar y no traicionar al pueblo. ¡Enhorabuena, Amatitán! ¡Sigue Jalisco!",2,7,41,815
"Llegamos al final del día y que mejor momento para reflexionar, quedarnos con lo aprendido y seguir mejorando. Cuéntenme que tal su día, los estaré leyendo. ¡Buenas noches Jalisco!",11,4,39,1000
"Impulsados por la unidad y el liderazgo de  
@Claudiashein
, Coordinadora de los Comités de Defensa de la Cuarta Transformación, avanzamos en Jalisco y Mexico hacia la realización de los propósitos sociales y humanos que el pueblo ha adoptado, manteniendo vivo el invaluable legado del presidente 
@lopezobrador_",7,33,48,683
¡Listo para acompañar a nuestra compañera,19,19,103,4000
