,texto,tokens,sentimiento
63,evelyn e íker son un gran  hoy los reconocimos en el  por su gran destreza victoria y valentía en el campeonato mundial de aritmética estoy segura de que seguirán poniendo muy en alto el nombre de méxico y chiapas ,"['evelyn', 'e', 'íker', 'son', 'un', 'gran', 'hoy', 'los', 'reconocimos', 'en', 'el', 'por', 'su', 'gran', 'destreza', 'victoria', 'y', 'valentía', 'en', 'el', 'campeonato', 'mundial', 'de', 'aritmética', 'estoy', 'segura', 'de', 'que', 'seguirán', 'poniendo', 'muy', 'en', 'alto', 'el', 'nombre', 'de', 'méxico', 'y', 'chiapas']",0.0
66,san cristóbal es una parte fundamental de mi historia en este pueblo mágico guardo momentos maravillosos como nuestra fiesta de xv años una celebración muy especial para todas nosotras,"['san', 'cristóbal', 'es', 'una', 'parte', 'fundamental', 'de', 'mi', 'historia', 'en', 'este', 'pueblo', 'mágico', 'guardo', 'momentos', 'maravillosos', 'como', 'nuestra', 'fiesta', 'de', 'xv', 'años', 'una', 'celebración', 'muy', 'especial', 'para', 'todas', 'nosotras']",0.4767
69,les comparto la siguiente columna en la que colaboro para   hablamos del fortalecimiento de la mujeres en chiapas y su participación ciudadana en la vida pública  httpsacortarlinks9rcma,"['les', 'comparto', 'la', 'siguiente', 'columna', 'en', 'la', 'que', 'colaboro', 'para', 'hablamos', 'del', 'fortalecimiento', 'de', 'la', 'mujeres', 'en', 'chiapas', 'y', 'su', 'participación', 'ciudadana', 'en', 'la', 'vida', 'pública', 'https', 'acortar', 'link', 's9rcma']",0.0
72,la unión hace la fuerzacon la dra claudia sheinbaum la transformación de méxico sigue ,"['la', 'unión', 'hace', 'la', 'fuerza', 'con', 'la', 'dra', 'claudia', 'sheinbaum', 'la', 'transformación', 'de', 'méxico', 'sigue']",0.0
75,unidos por la transformación ,"['unidos', 'por', 'la', 'transformación']",0.0
78,amigas y amigos de chiapas estamos muy contentos porque nos encontramos en la asamblea nacional de morena donde en unos momentos más la dra claudia sheinbaum tomará protesta como coordinadora de los comités de defensa de la cuarta transformación este es un momento histórico pues por primera vez una mujer encabezará este movimiento de transformación que iniciamos junto al presidente lópez obrador en el 2018 en esta nueva etapa bajo el liderazgo de la dra sheinbaum es necesario continuar fortaleciendo los valores de nuestro movimiento así como mantener la unidad para que la transformación continúe y pueda llegar a todos los rincones del país es tiempo de unidad es tiempo de mujeres qué viva la cuarta transformación qué viva morena,"['amigas', 'y', 'amigos', 'de', 'chiapas', 'estamos', 'muy', 'contentos', 'porque', 'nos', 'encontramos', 'en', 'la', 'asamblea', 'nacional', 'de', 'morena', 'donde', 'en', 'unos', 'momentos', 'más', 'la', 'dra', 'claudia', 'sheinbaum', 'tomará', 'protesta', 'como', 'coordinadora', 'de', 'los', 'comités', 'de', 'defensa', 'de', 'la', 'cuarta', 'transformación', 'este', 'es', 'un', 'momento', 'histórico', 'pues', 'por', 'primera', 'vez', 'una', 'mujer', 'encabezará', 'este', 'movimiento', 'de', 'transformación', 'que', 'iniciamos', 'junto', 'al', 'presidente', 'lópez', 'obrador', 'en', 'el', '2018', 'en', 'esta', 'nueva', 'etapa', 'bajo', 'el', 'liderazgo', 'de', 'la', 'dra', 'sheinbaum', 'es', 'necesario', 'continuar', 'fortaleciendo', 'los', 'valores', 'de', 'nuestro', 'movimiento', 'así', 'como', 'mantener', 'la', 'unidad', 'para', 'que', 'la', 'transformación', 'continúe', 'y', 'pueda', 'llegar', 'a', 'todos', 'los', 'rincones', 'del', 'país', 'es', 'tiempo', 'de', 'unidad', 'es', 'tiempo', 'de', 'mujeres', 'qué', 'viva', 'la', 'cuarta', 'transformación', 'qué', 'viva', 'morena']",0.0
81,entre tanto trabajo siempre encontramos un momento para reírnos que tengan un excelente fin de semana,"['entre', 'tanto', 'trabajo', 'siempre', 'encontramos', 'un', 'momento', 'para', 'reírnos', 'que', 'tengan', 'un', 'excelente', 'fin', 'de', 'semana']",0.0
84,mi vida fue aquí en mi lindo san cristóbal aquí fui a la escuela en el colegio tepeyac siempre orgullosa de mi tierra de mi origen y de mi gente,"['mi', 'vida', 'fue', 'aquí', 'en', 'mi', 'lindo', 'san', 'cristóbal', 'aquí', 'fui', 'a', 'la', 'escuela', 'en', 'el', 'colegio', 'tepeyac', 'siempre', 'orgullosa', 'de', 'mi', 'tierra', 'de', 'mi', 'origen', 'y', 'de', 'mi', 'gente']",0.0
87,es un honor estar con la mejor,"['es', 'un', 'honor', 'estar', 'con', 'la', 'mejor']",0.4939
90,estamos muy felices porque en un ejercicio de participación democrática las y los mexicanos hemos elegido a la dra claudia sheinbaum como coordinadora nacional para la defensa de la cuarta transformación es un honor acompañarla en este triunfo histórico para las mujeres de méxico el tiempo de las mujeres ha llegado,"['estamos', 'muy', 'felices', 'porque', 'en', 'un', 'ejercicio', 'de', 'participación', 'democrática', 'las', 'y', 'los', 'mexicanos', 'hemos', 'elegido', 'a', 'la', 'dra', 'claudia', 'sheinbaum', 'como', 'coordinadora', 'nacional', 'para', 'la', 'defensa', 'de', 'la', 'cuarta', 'transformación', 'es', 'un', 'honor', 'acompañarla', 'en', 'este', 'triunfo', 'histórico', 'para', 'las', 'mujeres', 'de', 'méxico', 'el', 'tiempo', 'de', 'las', 'mujeres', 'ha', 'llegado']",0.6808
