,texto,tokens,sentimiento
372,visitamos el municipio de mazapa de madero para convivir y divertirnos con las niñas y niños celebrando los reyes magos gracias a las papás y mamás que nos acompañaron para festejar con los más pequeños,"['visitamos', 'el', 'municipio', 'de', 'mazapa', 'de', 'madero', 'para', 'convivir', 'y', 'divertirnos', 'con', 'las', 'niñas', 'y', 'niños', 'celebrando', 'los', 'reyes', 'magos', 'gracias', 'a', 'las', 'papás', 'y', 'mamás', 'que', 'nos', 'acompañaron', 'para', 'festejar', 'con', 'los', 'más', 'pequeños']",0.0
373,celebramos a las niñas y niños en el ejido de potrillo en el municipio de amatenango de la frontera llevando la tradición de reyes magos estos recorridos nos llenan de emoción al compartir con ustedes grandes momentos,"['celebramos', 'a', 'las', 'niñas', 'y', 'niños', 'en', 'el', 'ejido', 'de', 'potrillo', 'en', 'el', 'municipio', 'de', 'amatenango', 'de', 'la', 'frontera', 'llevando', 'la', 'tradición', 'de', 'reyes', 'magos', 'estos', 'recorridos', 'nos', 'llenan', 'de', 'emoción', 'al', 'compartir', 'con', 'ustedes', 'grandes', 'momentos']",0.0
374,nos alegra haber festejado el día de reyes magos con las niñas y niños de diversas colonias de tuxtla gutiérrez ellos son el presente y motor de nuestro día a día continuemos luchando por su futuro,"['nos', 'alegra', 'haber', 'festejado', 'el', 'día', 'de', 'reyes', 'magos', 'con', 'las', 'niñas', 'y', 'niños', 'de', 'diversas', 'colonias', 'de', 'tuxtla', 'gutiérrez', 'ellos', 'son', 'el', 'presente', 'y', 'motor', 'de', 'nuestro', 'día', 'a', 'día', 'continuemos', 'luchando', 'por', 'su', 'futuro']",0.0
375,con niñas y niños de la colonia las granjas en tuxtla gutiérrez festejamos el día de reyes magos con mucho entusiasmo diversión y sonrisas gracias a todas y todos los que nos acompañaron,"['con', 'niñas', 'y', 'niños', 'de', 'la', 'colonia', 'las', 'granjas', 'en', 'tuxtla', 'gutiérrez', 'festejamos', 'el', 'día', 'de', 'reyes', 'magos', 'con', 'mucho', 'entusiasmo', 'diversión', 'y', 'sonrisas', 'gracias', 'a', 'todas', 'y', 'todos', 'los', 'que', 'nos', 'acompañaron']",0.0
376,vivimos momentos muy alegres celebrando el día de reyes con niñas y niños de las colonias 6 de junio y patria nueva en tuxtla gutiérrez gracias por recordarnos lo importante que es seguir cosechando sus sueños,"['vivimos', 'momentos', 'muy', 'alegres', 'celebrando', 'el', 'día', 'de', 'reyes', 'con', 'niñas', 'y', 'niños', 'de', 'las', 'colonias', '6', 'de', 'junio', 'y', 'patria', 'nueva', 'en', 'tuxtla', 'gutiérrez', 'gracias', 'por', 'recordarnos', 'lo', 'importante', 'que', 'es', 'seguir', 'cosechando', 'sus', 'sueños']",0.0
377,feliz día de reyes a las niñas y niños chiapanecos que iluminan nuestros corazones,"['feliz', 'día', 'de', 'reyes', 'a', 'las', 'niñas', 'y', 'niños', 'chiapanecos', 'que', 'iluminan', 'nuestros', 'corazones']",0.0
378,"sabes cuál es el significado de los elementos que componen la deliciosa rosca de reyes

les deseo un feliz día de reyes en compañía de su familia y seres queridos","['sabes', 'cuál', 'es', 'el', 'significado', 'de', 'los', 'elementos', 'que', 'componen', 'la', 'deliciosa', 'rosca', 'de', 'reyes', 'les', 'deseo', 'un', 'feliz', 'día', 'de', 'reyes', 'en', 'compañía', 'de', 'su', 'familia', 'y', 'seres', 'queridos']",0.0
379,como parte de nuestro recorrido de reyes magos en tuxtla gutiérrez visitamos la colonia cerro hueco gracias por las sonrisas y su recibimiento en este día que celebramos con niñas y niños,"['como', 'parte', 'de', 'nuestro', 'recorrido', 'de', 'reyes', 'magos', 'en', 'tuxtla', 'gutiérrez', 'visitamos', 'la', 'colonia', 'cerro', 'hueco', 'gracias', 'por', 'las', 'sonrisas', 'y', 'su', 'recibimiento', 'en', 'este', 'día', 'que', 'celebramos', 'con', 'niñas', 'y', 'niños']",0.0
380,llevamos la celebración de reyes magos al parque de copoya y a la cancha de la colonia belén en tuxtla gutiérrez es un gusto sonreír y convivir con las infancias de chiapas,"['llevamos', 'la', 'celebración', 'de', 'reyes', 'magos', 'al', 'parque', 'de', 'copoya', 'y', 'a', 'la', 'cancha', 'de', 'la', 'colonia', 'belén', 'en', 'tuxtla', 'gutiérrez', 'es', 'un', 'gusto', 'sonreír', 'y', 'convivir', 'con', 'las', 'infancias', 'de', 'chiapas']",0.0
381,en tuxtla gutiérrez visitamos las colonias las reliquias rivera guadalupe y san josé terán para disfrutar un momento de alegría y esparcimiento en compañía de las niñas y niños con motivo de la celebración de reyes magos,"['en', 'tuxtla', 'gutiérrez', 'visitamos', 'las', 'colonias', 'las', 'reliquias', 'rivera', 'guadalupe', 'y', 'san', 'josé', 'terán', 'para', 'disfrutar', 'un', 'momento', 'de', 'alegría', 'y', 'esparcimiento', 'en', 'compañía', 'de', 'las', 'niñas', 'y', 'niños', 'con', 'motivo', 'de', 'la', 'celebración', 'de', 'reyes', 'magos']",0.0
382,"hoy reconocemos a las y los periodistas cuya labor ejercida con profesionalismo ética y responsabilidad es fundamental para fortalecer nuestra democracia 

feliz día nacional del periodista","['hoy', 'reconocemos', 'a', 'las', 'y', 'los', 'periodistas', 'cuya', 'labor', 'ejercida', 'con', 'profesionalismo', 'ética', 'y', 'responsabilidad', 'es', 'fundamental', 'para', 'fortalecer', 'nuestra', 'democracia', 'feliz', 'día', 'nacional', 'del', 'periodista']",0.0
383,amigas y amigos de chiapas les deseo un año nuevo lleno de éxitos personales bienestar y mucha paz en sus hogares,"['amigas', 'y', 'amigos', 'de', 'chiapas', 'les', 'deseo', 'un', 'año', 'nuevo', 'lleno', 'de', 'éxitos', 'personales', 'bienestar', 'y', 'mucha', 'paz', 'en', 'sus', 'hogares']",0.0
384,"un año de logros y conquista de derechos para todas y todos los mexicanos gracias por acompañarnos y transformar juntos a nuestro país seguiremos trabajando incansablemente en favor del pueblo

les deseo un 2023 lleno de salud bienestar y prosperidad","['un', 'año', 'de', 'logros', 'y', 'conquista', 'de', 'derechos', 'para', 'todas', 'y', 'todos', 'los', 'mexicanos', 'gracias', 'por', 'acompañarnos', 'y', 'transformar', 'juntos', 'a', 'nuestro', 'país', 'seguiremos', 'trabajando', 'incansablemente', 'en', 'favor', 'del', 'pueblo', 'les', 'deseo', 'un', '2023', 'lleno', 'de', 'salud', 'bienestar', 'y', 'prosperidad']",0.4019
