CASILLA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,PT-MORENA,"VOTOS
 NULOS",CANDIDATOS NO REGISTRADOS
1409 CONTIGUA 1,204,9,3,0,3,6,89,3,3,1,2,6,0
1410 BASICA 1,239,9,2,2,3,4,98,6,2,1,1,4,0
1410 CONTIGUA 1,223,6,1,6,4,5,93,3,1,0,1,7,0
1411 BASICA 1,135,9,2,4,5,4,82,5,4,0,1,2,0
1411 CONTIGUA 1,132,6,1,5,4,3,96,2,6,1,2,3,0
1412 BASICA 1,115,7,2,2,1,4,89,2,4,1,1,0,0
1412 CONTIGUA 1,121,3,0,1,2,1,85,2,8,2,0,3,0
1413 BASICA 1,177,12,4,5,6,5,147,9,3,0,3,3,0
1413 CONTIGUA 1,200,4,0,3,4,4,144,5,1,2,3,4,0
1414 BASICA 1,143,8,3,4,6,8,144,6,4,1,2,5,0
1414 CONTIGUA 1,143,10,0,4,3,4,130,0,1,1,1,5,1
1415 BASICA 1,172,3,1,2,6,2,90,0,0,3,5,3,1
1415 CONTIGUA 1,155,6,0,1,4,4,99,4,7,2,1,5,0
1416 BASICA 1,199,13,2,6,3,7,110,2,1,1,2,4,0
1416 CONTIGUA 1,199,10,4,2,2,7,105,1,4,1,0,6,0
1417 BASICA 1,236,10,2,5,8,5,125,5,12,1,3,9,1
1417 CONTIGUA 1,227,10,1,3,5,7,155,5,12,2,2,10,0
1418 BASICA 1,144,1,0,2,2,4,133,11,2,1,2,5,1
1418 CONTIGUA 1,124,7,1,2,2,5,156,5,2,2,2,2,0
1419 BASICA 1,226,5,0,5,4,3,134,2,4,3,0,8,0
1419 CONTIGUA 1,219,4,2,1,1,9,132,3,2,0,1,3,0
1420 BASICA 1,262,2,0,5,6,5,65,2,0,0,1,4,0
1420 CONTIGUA 1,254,6,2,2,7,2,53,1,0,1,7,6,0
1421 BASICA 1,300,6,0,1,14,4,73,5,2,2,,5,0
1421 CONTIGUA 1,285,11,2,1,6,2,104,2,2,1,1,6,0
1422 BASICA 1,137,6,4,3,2,3,76,3,4,1,1,9,0
1422 CONTIGUA 1,139,7,0,0,2,7,92,1,5,1,0,6,0
1423 BASICA 1,167,5,0,0,2,2,84,2,0,0,1,6,1
1423 CONTIGUA 1,171,4,1,1,2,3,77,1,1,3,3,1,1
1424 BASICA 1,141,4,3,25,9,6,134,1,12,0,4,11,0
1424 CONTIGUA 1,176,7,1,20,5,8,122,2,11,1,2,8,2
1425 BASICA 1,140,8,1,1,3,5,73,3,2,0,1,3,0
1425 CONTIGUA 1,124,3,1,2,3,4,70,1,0,1,1,5,1
1426 BASICA 1,185,6,1,4,4,9,117,1,3,1,0,5,0
1426 CONTIGUA 1,208,14,1,2,3,6,102,2,8,1,1,3,0
1427 BASICA 1,163,5,2,1,10,4,200,3,9,1,3,9,0
1427 CONTIGUA 1,187,2,3,4,4,6,185,3,5,3,0,9,0
1427 CONTIGUA 2,154,4,0,2,13,8,187,0,2,0,0,12,0
1427 CONTIGUA 3,144,2,2,2,7,5,213,5,1,1,4,6,0
1428 BASICA 1,220,6,0,2,11,2,164,5,3,2,1,18,0
1428 CONTIGUA 1,266,0,1,1,12,7,115,8,7,0,5,10,0
1429 BASICA 1,206,4,2,5,1,2,61,2,3,0,1,1,1
1429 CONTIGUA 1,189,8,2,1,3,2,59,1,0,0,1,3,0
1430 BASICA 1,190,6,0,0,5,11,128,2,2,3,2,1,1
1431 BASICA 1,234,8,2,2,8,3,114,0,1,2,2,6,0
1432 BASICA 1,97,3,3,2,5,7,144,3,2,1,0,2,0
1432 CONTIGUA 1,128,4,1,0,4,5,116,3,2,0,1,5,0
1432 CONTIGUA 2,128,7,3,3,7,3,119,0,5,2,2,7,0
1433 BASICA 1,230,6,1,1,5,6,119,1,8,2,0,5,0
1434 BASICA 1,147,1,0,3,4,2,102,3,4,1,0,2,0
1434 CONTIGUA 1,144,3,1,1,4,2,109,1,2,1,1,4,0
1435 BASICA 1,93,3,2,4,7,9,119,1,1,0,2,4,0
1435 CONTIGUA 1,107,6,0,0,0,5,113,2,3,2,3,3,0
1436 BASICA 1,130,4,2,4,3,2,107,6,1,0,1,3,0
1436 CONTIGUA 1,110,4,0,2,5,2,99,5,4,0,1,2,0
1437 BASICA 1,176,6,0,7,1,8,91,4,2,1,2,3,0
1437 CONTIGUA 1,192,9,1,6,3,7,114,2,8,1,0,5,0
1438 BASICA 1,112,2,3,1,5,1,126,2,3,2,3,3,0
1439 BASICA 1,120,5,0,2,3,7,100,5,3,0,0,2,0
1439 CONTIGUA 1,152,5,1,5,5,3,116,3,2,0,3,4,0
1440 BASICA 1,142,6,1,2,7,4,91,1,4,1,2,5,0
1440 CONTIGUA 1,157,7,1,1,1,6,78,3,1,2,0,2,0
1441 BASICA 1,174,2,2,2,17,7,161,1,3,1,4,2,0
1441 CONTIGUA 1,175,3,2,0,16,4,139,3,2,1,6,3,0
1441 CONTIGUA 2,183,3,2,1,8,10,152,4,1,1,5,3,0
1442 BASICA 1,140,2,2,3,13,3,154,2,1,2,3,5,0
1442 CONTIGUA 1,169,4,2,3,9,6,137,3,1,4,2,10,1
1442 CONTIGUA 2,143,5,1,3,11,6,147,1,1,1,3,4,2
1442 CONTIGUA 3,120,7,2,1,13,9,190,1,0,1,1,9,0
1443 BASICA 1,143,7,1,3,6,6,116,1,2,2,2,4,0
1443 CONTIGUA 1,161,2,2,3,5,3,103,2,1,4,1,3,0
