,comentarios,repost,likes,views_reactions,views_reactions_log,red_social
38,64.0,7.0,0.0,2965.0,7.994632311431825,TIKTOK
39,57.0,10.0,1.0,1564.0,7.355001921105257,TIKTOK
40,579.0,84.0,33.0,20500.0,9.9281801651265,TIKTOK
41,301.0,72.0,11.0,1033.0,6.940222469119639,TIKTOK
42,40.0,3.0,1.0,21500.0,9.975808214115753,TIKTOK
43,1605.0,118.0,39.0,26400.0,10.181119289134408,TIKTOK
44,1020.0,211.0,30.0,1775.0,7.4815557019095165,TIKTOK
45,76.0,18.0,4.0,976.0,6.883462586413092,TIKTOK
46,35.0,2.0,0.0,1586.0,7.368970402194793,TIKTOK
47,87.0,4.0,0.0,1493.0,7.30854279753919,TIKTOK
48,72.0,5.0,3.0,965.0,6.872128101338986,TIKTOK
49,75.0,3.0,0.0,2274.0,7.729295674310482,TIKTOK
50,72.0,5.0,0.0,907.0,6.810142450115136,TIKTOK
51,46.0,2.0,0.0,38800.0,10.566175525611365,TIKTOK
52,57.0,4.0,3.0,1178.0,7.071573364211532,TIKTOK
53,112.0,8.0,4.0,2351.0,7.762596048540069,TIKTOK
54,6325.0,736.0,22.0,178500.0,12.092343880201831,TIKTOK
55,865.0,60.0,32.0,21900.0,9.994241915804592,TIKTOK
56,67.0,3.0,0.0,1624.0,7.392647520721623,TIKTOK
57,298.0,13.0,6.0,3607.0,8.19063168090354,TIKTOK
58,74.0,4.0,0.0,1871.0,7.534228326274089,TIKTOK
59,34.0,0.0,1.0,1340.0,7.200424892944957,TIKTOK
60,60.0,3.0,2.0,1480.0,7.299797366758161,TIKTOK
0,17.0,2.0,34.0,45.0,3.8066624897703196,FACEBOOK
1,27.0,43.0,77.0,96.0,4.564348191467836,FACEBOOK
2,13.0,7.0,90.0,112.0,4.718498871295094,FACEBOOK
3,51.0,99.0,274.0,328.0,5.793013608384144,FACEBOOK
4,14.0,7.0,73.0,88.0,4.477336814478207,FACEBOOK
5,16.0,10.0,117.0,143.0,4.962844630259907,FACEBOOK
6,44.0,29.0,156.0,190.0,5.247024072160486,FACEBOOK
7,33.0,16.0,195.0,239.0,5.476463551931511,FACEBOOK
8,1.0,4.0,55.0,61.0,4.110873864173311,FACEBOOK
9,11.0,74.0,89.0,104.0,4.6443908991413725,FACEBOOK
10,37.0,19.0,151.0,175.0,5.1647859739235145,FACEBOOK
11,17.0,5.0,157.0,180.0,5.19295685089021,FACEBOOK
12,22.0,19.0,146.0,166.0,5.111987788356544,FACEBOOK
13,11.0,10.0,173.0,201.0,5.303304908059076,FACEBOOK
14,5.0,1.0,60.0,70.0,4.248495242049359,FACEBOOK
15,18.0,14.0,109.0,122.0,4.804021044733257,FACEBOOK
16,36.0,16.0,171.0,199.0,5.293304824724492,FACEBOOK
17,17.0,4.0,83.0,97.0,4.574710978503383,FACEBOOK
18,20.0,23.0,162.0,189.0,5.241747015059643,FACEBOOK
19,123.0,35.0,383.0,457.0,6.124683390894205,FACEBOOK
20,35.0,16.0,127.0,154.0,5.0369526024136295,FACEBOOK
21,310.0,23.0,623.0,712.0,6.568077911411976,FACEBOOK
22,24.0,17.0,178.0,218.0,5.384495062789089,FACEBOOK
23,79.0,34.0,497.0,567.0,6.340359303727752,FACEBOOK
